Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet in PPP dollars [CoCA_PPP],Cost of a nutrient adequate diet in PPP dollars [CoNA_PPP],Cost of a healthy diet in PPP dollars [CoHD_PPP],Cost of fruits in PPP dollars [CoHD_f_PPP],Cost of vegetables in PPP dollars [CoHD_v_PPP],Cost of starchy staples in PPP dollars [CoHD_ss_PPP],Cost of animal source foods in PPP dollars [CoHD_asf_PPP],"Cost of legumes, nuts and seeds in PPP dollars [CoHD_lns_PPP]",Cost of fats and oils in PPP dollars [CoHD_of_PPP],Cost of an energy sufficient diet in local currency unit [CoCA_LCU],Cost of a nutrient adequate diet in local currency unit [CoNA_LCU],Cost of a healthy diet in local currency unit [CoHD_LCU],Cost of fruits in local currency unit [CoHD_f_LCU],Cost of vegetables in local currency unit [CoHD_v_LCU],Cost of starchy staples in local currency unit [CoHD_ss_LCU],Cost of animal source foods in local currency unit [CoHD_asf_LCU],"Cost of legumes, nuts and seeds in local currency unit [CoHD_lns_LCU]",Cost of fats and oils in local currency unit [CoHD_of_LCU],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 4.0,FPN 4.0,Curacao,CUW,2024,YR2024,..,..,5.54,..,..,..,..,..,..,..,..,7.95,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,185482
Food Prices for Nutrition 4.0,FPN 4.0,Cyprus,CYP,2017,YR2017,..,..,2.89,..,..,..,..,..,..,..,..,1.95,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.26,..,..,..,..,..,4,..,..,0.1,1254275
Food Prices for Nutrition 4.0,FPN 4.0,Cyprus,CYP,2018,YR2018,..,..,2.93,..,..,..,..,..,..,..,..,1.96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.26,..,..,..,..,..,2.7,..,..,0,1270737
Food Prices for Nutrition 4.0,FPN 4.0,Cyprus,CYP,2019,YR2019,..,..,3.04,..,..,..,..,..,..,..,..,1.98,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.27,..,..,..,..,..,2.5,..,..,0,1286671
Food Prices for Nutrition 4.0,FPN 4.0,Cyprus,CYP,2020,YR2020,..,..,3.14,..,..,..,..,..,..,..,..,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.28,..,..,..,..,..,2.1,..,..,0,1302247
Food Prices for Nutrition 4.0,FPN 4.0,Cyprus,CYP,2021,YR2021,0.67,2.24,3.1,0.73,0.72,0.45,0.78,0.33,0.1,0.43,1.43,1.99,0.47,0.46,0.29,0.5,0.21,0.07,4.66,0.23,0.23,0.14,0.25,0.11,0.03,1.63,1.61,1.75,0.73,0.23,0.06,0.2,0.28,0.11,0.37,0.52,1.4,1.9,2.3,0,0,0,1317309
Food Prices for Nutrition 4.0,FPN 4.0,Cyprus,CYP,2022,YR2022,..,..,3.44,..,..,..,..,..,..,..,..,2.17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.31,..,..,..,..,..,1.8,..,..,0,1331370
Food Prices for Nutrition 4.0,FPN 4.0,Cyprus,CYP,2023,YR2023,..,..,3.65,..,..,..,..,..,..,..,..,2.34,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.33,..,..,..,..,..,1.8,..,..,0,1344976
Food Prices for Nutrition 4.0,FPN 4.0,Cyprus,CYP,2024,YR2024,..,..,3.82,..,..,..,..,..,..,..,..,2.41,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.34,..,..,..,..,..,1.8,..,..,0,1358282
Food Prices for Nutrition 4.0,FPN 4.0,Czechia,CZE,2017,YR2017,..,..,2.81,..,..,..,..,..,..,..,..,39.09,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,4.8,..,..,0.5,10541342
Food Prices for Nutrition 4.0,FPN 4.0,Czechia,CZE,2018,YR2018,..,..,2.83,..,..,..,..,..,..,..,..,39.61,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,4.2,..,..,0.4,10548937
Food Prices for Nutrition 4.0,FPN 4.0,Czechia,CZE,2019,YR2019,..,..,2.97,..,..,..,..,..,..,..,..,40.72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.27,..,..,..,..,..,3.6,..,..,0.4,10554875
Food Prices for Nutrition 4.0,FPN 4.0,Czechia,CZE,2020,YR2020,..,..,3,..,..,..,..,..,..,..,..,42.57,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.27,..,..,..,..,..,3.9,..,..,0.4,10550129
Food Prices for Nutrition 4.0,FPN 4.0,Czechia,CZE,2021,YR2021,0.45,2.46,2.9,0.61,0.72,0.41,0.74,0.35,0.08,6.7,36.39,42.91,8.97,10.65,5.99,10.9,5.17,1.24,6.4,0.21,0.25,0.14,0.25,0.12,0.03,1.5,1.78,1.82,0.86,0.21,0.04,0.22,0.26,0.06,0.34,0.4,2.6,3.6,3.8,0.3,0.4,0.4,10530683
Food Prices for Nutrition 4.0,FPN 4.0,Czechia,CZE,2022,YR2022,..,..,3.36,..,..,..,..,..,..,..,..,49.98,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,..,..,..,4,..,..,0.4,10673213
Food Prices for Nutrition 4.0,FPN 4.0,Czechia,CZE,2023,YR2023,..,..,3.65,..,..,..,..,..,..,..,..,55.84,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.33,..,..,..,..,..,4.2,..,..,0.5,10809716
Food Prices for Nutrition 4.0,FPN 4.0,Czechia,CZE,2024,YR2024,..,..,3.58,..,..,..,..,..,..,..,..,54.56,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.32,..,..,..,..,..,4,..,..,0.4,10735859
Food Prices for Nutrition 4.0,FPN 4.0,Denmark,DNK,2017,YR2017,..,..,2.2,..,..,..,..,..,..,..,..,17.58,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,..,..,..,0.9,..,..,0.1,5765168
Food Prices for Nutrition 4.0,FPN 4.0,Denmark,DNK,2018,YR2018,..,..,2.26,..,..,..,..,..,..,..,..,17.59,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,..,..,..,1.1,..,..,0.1,5793824
Food Prices for Nutrition 4.0,FPN 4.0,Denmark,DNK,2019,YR2019,..,..,2.34,..,..,..,..,..,..,..,..,17.84,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.21,..,..,..,..,..,1,..,..,0.1,5814618
Food Prices for Nutrition 4.0,FPN 4.0,Denmark,DNK,2020,YR2020,..,..,2.41,..,..,..,..,..,..,..,..,17.95,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.22,..,..,..,..,..,1.1,..,..,0.1,5831530
Food Prices for Nutrition 4.0,FPN 4.0,Denmark,DNK,2021,YR2021,0.31,1.99,2.49,0.6,0.66,0.25,0.63,0.3,0.06,2.23,14.41,18.05,4.32,4.77,1.83,4.56,2.16,0.41,8.08,0.24,0.26,0.1,0.25,0.12,0.02,2.36,2.6,2.48,1.18,0.22,0.03,0.18,0.22,0.04,0.26,0.33,0.6,0.8,0.8,0,0,0,5856776
Food Prices for Nutrition 4.0,FPN 4.0,Denmark,DNK,2022,YR2022,..,..,2.72,..,..,..,..,..,..,..,..,20.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.24,..,..,..,..,..,0.9,..,..,0.1,5902904
Food Prices for Nutrition 4.0,FPN 4.0,Denmark,DNK,2023,YR2023,..,..,2.94,..,..,..,..,..,..,..,..,21.82,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.26,..,..,..,..,..,0.9,..,..,0.1,5948136
Food Prices for Nutrition 4.0,FPN 4.0,Denmark,DNK,2024,YR2024,..,..,3.03,..,..,..,..,..,..,..,..,22.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.27,..,..,..,..,..,0.8,..,..,0,5977412
Food Prices for Nutrition 4.0,FPN 4.0,Djibouti,DJI,2017,YR2017,..,..,2.97,..,..,..,..,..,..,..,..,292.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.45,..,..,..,..,..,56.7,..,..,0.6,1054841
Food Prices for Nutrition 4.0,FPN 4.0,Djibouti,DJI,2018,YR2018,..,..,3,..,..,..,..,..,..,..,..,292.61,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.47,..,..,..,..,..,55.5,..,..,0.6,1071882
Food Prices for Nutrition 4.0,FPN 4.0,Djibouti,DJI,2019,YR2019,..,..,3.1,..,..,..,..,..,..,..,..,309.21,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.52,..,..,..,..,..,54.9,..,..,0.6,1088709
Food Prices for Nutrition 4.0,FPN 4.0,Djibouti,DJI,2020,YR2020,..,..,3.24,..,..,..,..,..,..,..,..,324.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.59,..,..,..,..,..,55.9,..,..,0.6,1105188
Food Prices for Nutrition 4.0,FPN 4.0,Djibouti,DJI,2021,YR2021,0.89,2.22,3.4,0.46,0.64,0.58,1.38,0.21,0.13,86.16,214.95,329.72,44.39,61.79,56.12,133.83,20.77,12.81,3.83,0.14,0.19,0.17,0.41,0.06,0.04,0.79,1.1,2.39,0.37,0.23,0.44,1.09,1.67,0.22,0.55,0.84,20.2,40,55,0.2,0.4,0.6,1121248
Food Prices for Nutrition 4.0,FPN 4.0,Djibouti,DJI,2022,YR2022,..,..,3.86,..,..,..,..,..,..,..,..,364.56,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.89,..,..,..,..,..,56.2,..,..,0.6,1137096
Food Prices for Nutrition 4.0,FPN 4.0,Djibouti,DJI,2023,YR2023,..,..,4.06,..,..,..,..,..,..,..,..,373.93,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.99,..,..,..,..,..,55.3,..,..,0.6,1152944
Food Prices for Nutrition 4.0,FPN 4.0,Djibouti,DJI,2024,YR2024,..,..,4.2,..,..,..,..,..,..,..,..,383.27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.06,..,..,..,..,..,53.6,..,..,0.6,1168722
Food Prices for Nutrition 4.0,FPN 4.0,Dominica,DMA,2017,YR2017,..,..,4.28,..,..,..,..,..,..,..,..,8.07,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.36,..,..,..,..,..,..,..,..,..,68496
Food Prices for Nutrition 4.0,FPN 4.0,Dominica,DMA,2018,YR2018,..,..,4.55,..,..,..,..,..,..,..,..,8.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.44,..,..,..,..,..,..,..,..,..,68174
Food Prices for Nutrition 4.0,FPN 4.0,Dominica,DMA,2019,YR2019,..,..,4.75,..,..,..,..,..,..,..,..,8.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.51,..,..,..,..,..,..,..,..,..,67880
Food Prices for Nutrition 4.0,FPN 4.0,Dominica,DMA,2020,YR2020,..,..,5,..,..,..,..,..,..,..,..,8.45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.59,..,..,..,..,..,..,..,..,..,67573
Food Prices for Nutrition 4.0,FPN 4.0,Dominica,DMA,2021,YR2021,1.23,3.43,5.26,0.9,1.62,0.95,1,0.59,0.2,2,5.57,8.55,1.47,2.64,1.54,1.64,0.96,0.32,4.28,0.17,0.31,0.18,0.19,0.11,0.04,0.95,1.71,1.06,0.62,0.21,0.39,1.09,1.67,0.19,0.53,0.81,..,..,..,..,..,..,67202
Food Prices for Nutrition 4.0,FPN 4.0,Dominica,DMA,2022,YR2022,..,..,5.69,..,..,..,..,..,..,..,..,9.23,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.81,..,..,..,..,..,..,..,..,..,66826
Food Prices for Nutrition 4.0,FPN 4.0,Dominica,DMA,2023,YR2023,..,..,6.08,..,..,..,..,..,..,..,..,9.88,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.93,..,..,..,..,..,..,..,..,..,66510
Food Prices for Nutrition 4.0,FPN 4.0,Dominica,DMA,2024,YR2024,..,..,6.36,..,..,..,..,..,..,..,..,10.21,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.02,..,..,..,..,..,..,..,..,..,66205
Food Prices for Nutrition 4.0,FPN 4.0,Dominican Republic,DOM,2017,YR2017,..,..,3.39,..,..,..,..,..,..,..,..,81.28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.08,..,..,..,..,..,27.4,..,..,2.9,10666843
Food Prices for Nutrition 4.0,FPN 4.0,Dominican Republic,DOM,2018,YR2018,..,..,3.48,..,..,..,..,..,..,..,..,84.22,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1,..,..,..,..,..,23.7,..,..,2.6,10782053
Food Prices for Nutrition 4.0,FPN 4.0,Dominican Republic,DOM,2019,YR2019,..,..,3.74,..,..,..,..,..,..,..,..,87.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.19,..,..,..,..,..,22.3,..,..,2.4,10894043
Food Prices for Nutrition 4.0,FPN 4.0,Dominican Republic,DOM,2020,YR2020,..,..,4.05,..,..,..,..,..,..,..,..,92.88,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.29,..,..,..,..,..,26,..,..,2.9,11008300
Food Prices for Nutrition 4.0,FPN 4.0,Dominican Republic,DOM,2021,YR2021,1.36,3.59,4.41,0.58,0.95,0.72,1.32,0.56,0.29,31.57,82.98,102.07,13.46,22.01,16.6,30.45,12.87,6.67,3.23,0.13,0.22,0.16,0.3,0.13,0.07,0.81,1.32,1.83,0.77,0.4,0.43,1.14,1.4,0.14,0.38,0.46,9.7,21.7,26.4,1.1,2.4,2.9,11123476
Food Prices for Nutrition 4.0,FPN 4.0,Dominican Republic,DOM,2022,YR2022,..,..,4.87,..,..,..,..,..,..,..,..,113.41,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.55,..,..,..,..,..,25.1,..,..,2.8,11230734
Food Prices for Nutrition 4.0,FPN 4.0,Dominican Republic,DOM,2023,YR2023,..,..,5.21,..,..,..,..,..,..,..,..,122.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.66,..,..,..,..,..,24.9,..,..,2.8,11331265
Food Prices for Nutrition 4.0,FPN 4.0,Dominican Republic,DOM,2024,YR2024,..,..,5.4,..,..,..,..,..,..,..,..,127.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.72,..,..,..,..,..,23,..,..,2.6,11427557
Food Prices for Nutrition 4.0,FPN 4.0,East Asia & Pacific,EAS,2017,YR2017,..,..,3.57,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.94,..,..,..,..,..,29.3,..,..,688.3,..
Food Prices for Nutrition 4.0,FPN 4.0,East Asia & Pacific,EAS,2018,YR2018,..,..,3.64,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.99,..,..,..,..,..,26.7,..,..,631.2,..
Food Prices for Nutrition 4.0,FPN 4.0,East Asia & Pacific,EAS,2019,YR2019,..,..,3.75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.03,..,..,..,..,..,24.7,..,..,587.9,..
Food Prices for Nutrition 4.0,FPN 4.0,East Asia & Pacific,EAS,2020,YR2020,..,..,3.94,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.08,..,..,..,..,..,26.1,..,..,622.5,..
Food Prices for Nutrition 4.0,FPN 4.0,East Asia & Pacific,EAS,2021,YR2021,1.13,2.69,4.13,0.95,0.94,0.67,1.01,0.43,0.15,..,..,..,..,..,..,..,..,..,4.15,0.23,0.23,0.16,0.25,0.1,0.04,1.64,1.55,1.64,0.7,0.25,0.31,0.72,1.08,0.19,0.44,0.67,4.6,12.7,21,110.3,304.2,501.2,..
Food Prices for Nutrition 4.0,FPN 4.0,East Asia & Pacific,EAS,2022,YR2022,..,..,4.46,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.21,..,..,..,..,..,20.5,..,..,491.1,..
Food Prices for Nutrition 4.0,FPN 4.0,East Asia & Pacific,EAS,2023,YR2023,..,..,4.73,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.28,..,..,..,..,..,19.2,..,..,460.7,..
Food Prices for Nutrition 4.0,FPN 4.0,East Asia & Pacific,EAS,2024,YR2024,..,..,4.86,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.31,..,..,..,..,..,17.8,..,..,426.5,..
Food Prices for Nutrition 4.0,FPN 4.0,Ecuador,ECU,2017,YR2017,..,..,2.5,..,..,..,..,..,..,..,..,1.44,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.79,..,..,..,..,..,23.1,..,..,3.9,16759519
Food Prices for Nutrition 4.0,FPN 4.0,Ecuador,ECU,2018,YR2018,..,..,2.54,..,..,..,..,..,..,..,..,1.41,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.81,..,..,..,..,..,23.9,..,..,4.1,17049547
Food Prices for Nutrition 4.0,FPN 4.0,Ecuador,ECU,2019,YR2019,..,..,2.63,..,..,..,..,..,..,..,..,1.41,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.84,..,..,..,..,..,24.8,..,..,4.3,17340021
Food Prices for Nutrition 4.0,FPN 4.0,Ecuador,ECU,2020,YR2020,..,..,2.77,..,..,..,..,..,..,..,..,1.42,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.88,..,..,..,..,..,30.4,..,..,5.3,17546065
Food Prices for Nutrition 4.0,FPN 4.0,Ecuador,ECU,2021,YR2021,0.91,2.28,2.91,0.38,0.44,0.73,0.89,0.32,0.17,0.44,1.11,1.41,0.18,0.21,0.35,0.43,0.15,0.08,3.2,0.13,0.15,0.25,0.31,0.11,0.06,0.52,0.6,1.22,0.43,0.23,0.29,0.72,0.92,0.2,0.51,0.65,15,22.1,27.2,2.7,3.9,4.8,17682454
Food Prices for Nutrition 4.0,FPN 4.0,Ecuador,ECU,2022,YR2022,..,..,3.2,..,..,..,..,..,..,..,..,1.49,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.01,..,..,..,..,..,25.9,..,..,4.6,17823897
Food Prices for Nutrition 4.0,FPN 4.0,Ecuador,ECU,2023,YR2023,..,..,3.44,..,..,..,..,..,..,..,..,1.57,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.09,..,..,..,..,..,26.2,..,..,4.7,17980083
Food Prices for Nutrition 4.0,FPN 4.0,Ecuador,ECU,2024,YR2024,..,..,3.56,..,..,..,..,..,..,..,..,1.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.13,..,..,..,..,..,26.4,..,..,4.8,18135478
Food Prices for Nutrition 4.0,FPN 4.0,"Egypt, Arab Rep.",EGY,2017,YR2017,..,..,3.81,..,..,..,..,..,..,..,..,13.03,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.87,..,..,..,..,..,52.7,..,..,54.6,103696057
Food Prices for Nutrition 4.0,FPN 4.0,"Egypt, Arab Rep.",EGY,2018,YR2018,..,..,4.02,..,..,..,..,..,..,..,..,14.75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.97,..,..,..,..,..,53.9,..,..,56.9,105682094
Food Prices for Nutrition 4.0,FPN 4.0,"Egypt, Arab Rep.",EGY,2019,YR2019,..,..,3.98,..,..,..,..,..,..,..,..,15.82,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.95,..,..,..,..,..,49.1,..,..,52.8,107553158
Food Prices for Nutrition 4.0,FPN 4.0,"Egypt, Arab Rep.",EGY,2020,YR2020,..,..,3.88,..,..,..,..,..,..,..,..,15.79,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9,..,..,..,..,..,44.6,..,..,48.8,109315124
Food Prices for Nutrition 4.0,FPN 4.0,"Egypt, Arab Rep.",EGY,2021,YR2021,1.35,2.95,4.01,0.42,0.52,0.69,1.65,0.49,0.25,5.54,12.12,16.51,1.73,2.14,2.82,6.78,2.01,1.03,2.98,0.11,0.13,0.17,0.41,0.12,0.06,0.61,0.76,2.41,0.71,0.36,0.66,1.44,1.97,0.1,0.22,0.3,5,25.2,42,5.6,28,46.6,110957008
Food Prices for Nutrition 4.0,FPN 4.0,"Egypt, Arab Rep.",EGY,2022,YR2022,..,..,4.69,..,..,..,..,..,..,..,..,20.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.3,..,..,..,..,..,44,..,..,49.6,112618250
Food Prices for Nutrition 4.0,FPN 4.0,"Egypt, Arab Rep.",EGY,2023,YR2023,..,..,5.96,..,..,..,..,..,..,..,..,33.26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.92,..,..,..,..,..,55.2,..,..,63.3,114535772
Food Prices for Nutrition 4.0,FPN 4.0,"Egypt, Arab Rep.",EGY,2024,YR2024,..,..,6.38,..,..,..,..,..,..,..,..,44.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.13,..,..,..,..,..,56.8,..,..,66.2,116538258
Food Prices for Nutrition 4.0,FPN 4.0,El Salvador,SLV,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6213533
Food Prices for Nutrition 4.0,FPN 4.0,El Salvador,SLV,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6219807
Food Prices for Nutrition 4.0,FPN 4.0,El Salvador,SLV,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6222318
Food Prices for Nutrition 4.0,FPN 4.0,El Salvador,SLV,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6234673
Food Prices for Nutrition 4.0,FPN 4.0,El Salvador,SLV,2021,YR2021,1.6,3.22,..,..,..,..,..,..,..,0.79,1.59,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.51,1.02,..,0.27,0.54,..,..,..,..,..,..,..,6255782
Food Prices for Nutrition 4.0,FPN 4.0,El Salvador,SLV,2022,YR2022,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6280319
Food Prices for Nutrition 4.0,FPN 4.0,El Salvador,SLV,2023,YR2023,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6309624
Food Prices for Nutrition 4.0,FPN 4.0,El Salvador,SLV,2024,YR2024,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6338193
Food Prices for Nutrition 4.0,FPN 4.0,Equatorial Guinea,GNQ,2017,YR2017,..,..,3.7,..,..,..,..,..,..,..,..,1118.33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.18,..,..,..,..,..,..,..,..,..,1562396
Food Prices for Nutrition 4.0,FPN 4.0,Equatorial Guinea,GNQ,2018,YR2018,..,..,3.77,..,..,..,..,..,..,..,..,1125.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,..,..,..,..,..,..,..,1616422
Food Prices for Nutrition 4.0,FPN 4.0,Equatorial Guinea,GNQ,2019,YR2019,..,..,3.81,..,..,..,..,..,..,..,..,1133.96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.21,..,..,..,..,..,..,..,..,..,1670177
Food Prices for Nutrition 4.0,FPN 4.0,Equatorial Guinea,GNQ,2020,YR2020,..,..,3.93,..,..,..,..,..,..,..,..,1186.89,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.25,..,..,..,..,..,..,..,..,..,1716468
